Country,value
Afghanistan,0.7811117951003147
Albania,0.25495682824919724
Algeria,0.5594462370601871
Angola,0.6997878682503264
Argentina,0.7727926594708242
Armenia,0.34878666863917185
Australia,0.720683860520689
Austria,0.0
Bangladesh,0.9804664467031977
Belarus,0.34756665710182055
Belgium,0.6652536186476516
Benin,0.6857671102332186
Bhutan,0.0
Bolivia (Plurinational State of),0.8732415726149683
Bosnia and Herzegovina,0.7204731903258607
Botswana,0.5189721733616474
Brazil,0.8843503470068891
Bulgaria,0.5531640479379188
Burkina Faso,0.6810634749462976
Burundi,0.732160012618652
Cabo Verde,0.6834557485861419
Cambodia,0.6966130147171768
Cameroon,0.7801351455231911
Canada,0.5957937336821784
Central African Republic,0.6751568933889679
Chad,0.864568562032224
Chile,0.6337244484187987
China,0.9973766918149112
Colombia,0.7399650376767708
Congo,0.8370360934236271
Costa Rica,0.810006170316434
Côte d’Ivoire,0.5941007155325757
Croatia,0.2978445686818888
Cuba,0.5721205544514982
Cyprus,0.3539162743251234
Czechia,0.18287068984712904
Democratic People's Republic of Korea,0.6590354377931739
Democratic Republic of the Congo,0.8620354179325633
Djibouti,0.667957867798464
Dominican Republic,0.730610742212468
Ecuador,0.7157895175915753
Egypt,0.5863490775051299
El Salvador,0.3282054652183618
Equatorial Guinea,0.5782923502645485
Ethiopia,0.8656604868573919
France,0.5564380834371392
French Guiana,0.28393812702835514
Gabon,0.5468195582963293
Gambia,0.5611884636475043
Georgia,0.7365174457393411
Germany,0.48282968100010243
Ghana,0.6185858145894382
Greece,0.5187697703466562
Guatemala,0.9141957322146889
Guinea,0.7380385451566879
Guyana,0.6020649831486167
Haiti,0.7457795393730052
Honduras,0.6602186158997775
India,0.9906591504824784
Indonesia,0.8493176476282492
Iran (Islamic Republic of),0.7744455630903319
Iraq,0.6332903703741621
Israel,0.0
Italy,0.6199307900384106
Japan,0.7252778566896715
Kazakhstan,0.6869441937180101
Kenya,0.8427323437949932
Kyrgyzstan,0.6665819950057253
Lao People's Democratic Republic,0.7562830801068281
Latvia,0.30487430470728805
Liberia,0.6237281508729225
Libya,0.46679156557211715
Luxembourg,0.0
Madagascar,0.6943609304999636
Malawi,0.7329825119264676
Malaysia,0.7390858118577794
Mali,0.7501810430968786
Mauritania,0.6292206677463354
Mexico,0.6685894404090694
Mongolia,0.7307711069712229
Morocco,0.4228133403737957
Mozambique,0.7316036901727209
Myanmar,0.7373995665267596
Namibia,0.4710472383084621
Nepal,0.8525896366406104
Netherlands (Kingdom of the),0.0
New Zealand,0.5253682541741904
Niger,0.8543634277017205
Nigeria,0.88572877629578
Oman,0.4204690038265543
Pakistan,1.0
Panama,0.5941271428567056
Papua New Guinea,0.6339364863259824
Paraguay,0.6255876304319102
Peru,0.7690280747434632
Philippines,0.896584253167175
Poland,0.4923507897834706
Puerto Rico,0.0
Republic of Korea,0.6291375379422853
Romania,0.4793722376332309
Russian Federation,0.6401021976882769
Rwanda,0.6512393058931384
Saint Lucia,0.4955782742778131
Sao Tome and Principe,0.707755848855522
Saudi Arabia,0.36809034755237563
Senegal,0.6580559019301461
Serbia,0.5972026934423663
Sierra Leone,0.6046025100952719
Slovakia,0.3177143688918837
Slovenia,0.8183615391564124
Somalia,0.8906747279728799
South Africa,0.7173804769192604
South Sudan,0.8785908798011496
Spain,0.6137291263909794
Sri Lanka,0.809455852695201
Sudan,0.8301891381167632
Suriname,0.5672142795738443
Sweden,0.5472473797611603
Switzerland,0.0
Syrian Arab Republic,0.6875256889799748
Taiwan (Province of China),0.5003640582828546
Tajikistan,0.5886881067568867
Thailand,0.8780279611886778
Timor-Leste,0.5247477339761086
Togo,0.655311028255403
Trinidad and Tobago,0.6624735559331856
Tunisia,0.6152329212798545
Türkiye,0.5406040486927938
Uganda,0.740453854349159
Ukraine,0.6309800087019635
United Arab Emirates,0.33641415439044225
United Kingdom of Great Britain and Northern Ireland,0.35525028336778
United Republic of Tanzania,0.8614032720735156
United States of America,0.5851770989386871
Uruguay,0.6666778171538151
Uzbekistan,0.6421345244029348
Venezuela (Bolivarian Republic of),0.818176617717764
Viet Nam,0.7631402363993339
Yemen,0.828672922849704
Zambia,0.7891583971347631
Zimbabwe,0.0
