Country,value
Africa,0.9483857181005473
Algeria,0.5327070362314619
Argentina,0.7321365523313885
Aruba,0.0
Asia,0.906202569052871
Austria,0.5372431850368244
Azerbaijan,0.7045367242053352
Bahrain,0.0
Bangladesh,0.0
Belarus,0.5058281911279414
Belgium,0.45330859236364546
Belize,0.5777041050643799
Bhutan,0.3758625874584535
Bolivia,0.7685448471117341
Brazil,0.889085736319068
Bulgaria,0.0
Burundi,0.0
Cameroon,0.6798617112877309
Canada,0.6528630556580257
Cape Verde,0.41587496960854714
Cayman Islands,0.0
Central African Republic,0.6389984947793178
Chile,0.5670658830916472
China,0.7313964263771987
Colombia,0.7563520186929067
Congo,0.5908655035844923
Costa Rica,0.0
Croatia,0.24248601136309963
Cuba,0.0
Denmark,0.3985449544263879
Djibouti,0.3145836958839171
Ecuador,0.7051509352283052
El Salvador,0.5214058687712674
Equatorial Guinea,0.559798085623762
Estonia,0.5280604663687938
Ethiopia,0.7084581295925426
Europe,0.6906262103546679
Falkland Islands,0.0
Faroe Islands,0.0
French Guyana,0.53692229659517
Gabon,0.6114966814952437
Georgia,0.0
Germany,0.5487927889506897
Gibraltar,0.0
Greenland,0.0
Guadeloupe,0.3422467181332753
Guatemala,0.5801010045175552
Guyana,0.5657328249996187
Honduras,0.6230388789890757
Hungary,0.49910034916127605
Iceland,0.0
India,0.8313801003381995
Indonesia,0.8296498293991276
Iraq,0.0
Ireland,0.3985449544263879
Isle of Man,0.0
Jamaica,0.38998173163853794
Kuwait,0.0
Kyrgyzstan,0.0
Latvia,0.36484905305366433
Liberia,0.6395333819742184
Liechtenstein,0.3314394561724637
Lithuania,0.30630677758759006
Malawi,0.6598546631810599
Maldives,0.0
Mali,0.0
Martinique,0.3145836958839171
Mauritania,0.6646524030042912
Mauritius,0.2967517766460424
Mayotte,0.2537871788232941
Mexico,0.744974267959678
Moldova,0.3613060995054212
Monaco,0.0
Mongolia,0.45412959525645974
Montenegro,0.5822023858318903
Morocco,0.0
Mozambique,0.7745074368495933
Myanmar,0.7804546694422156
Nauru,0.0
Nepal,0.0
Netherlands,0.4767659037661962
New Zealand,0.5449574536706411
Nicaragua,0.7166684795453232
Niger,0.5957024265826282
Nigeria,0.7440288367021781
North Korea,0.6230388789890757
Norway,0.5373497797530558
Oceania,0.6598546631810599
Panama,0.5846831218008798
Papua New Guinea,0.6458938823281666
Paraguay,0.777301009663073
Peru,0.7497462065442199
Poland,0.4119752679548924
Qatar,0.0
Romania,0.18568990241567226
Russia,0.0
San Marino,0.0
Sao Tome and Principe,0.3985449544263879
Senegal,0.6718893872761427
Serbia,0.22865450023842054
Singapore,0.3397163744687907
Slovenia,0.4720633794510525
Somalia,0.6972243003380068
South Africa,0.7562804193237276
South America,0.923470321264553
South Korea,0.5709012183716959
Spain,0.5099391876954719
Sudan,0.7738000718446892
Suriname,0.5803676062714003
Sweden,0.5874017638645541
Switzerland,0.4463169848406112
Tanzania,0.8100771926173547
Thailand,0.6529950787371438
Togo,0.5274387478946327
Tokelau,0.0
Tunisia,0.39333307819583674
Turkey,0.43790776166542383
Uganda,0.6719986758361256
Ukraine,0.28545060918584797
Uzbekistan,0.5924179771701034
Vatican,0.0
Venezuela,0.7185631562837647
Vietnam,0.4569203796915473
World,1.0
Zambia,0.7533170348947014
Zimbabwe,0.6655877847879527
